0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-600.9402,4.69429,-8.5059395,-4.2766213,-0.81861526,-1.9734449,-0.2946069,0.8254162,0.8214567,0.4409385,-0.47666734,-0.24632885,-0.8607667,0.4595072,-0.07955728,-0.33532137,-1.1122059,-0.094157726,-0.12438038,0.46913886
-193.9782,2.7461467,-59.386883,4.41346,-47.953037,-28.069557,-30.951284,-6.7703123,-38.14934,-14.31989,-17.561872,-21.619104,-13.483217,-13.523891,-11.112632,-9.676359,-8.5124855,-0.7831901,-6.240028,9.080854
-434.7572,105.1505,14.504563,18.901146,6.299151,-3.6325893,0.016720666,6.605851,1.3637291,-2.3568873,-1.430629,0.19447806,-2.2455862,-1.0928698,-0.52356184,-1.802318,-3.9944124,-2.6679387,-1.8958592,-1.046375
-118.72305,88.636826,5.262154,19.197878,9.796342,39.14294,6.9583626,10.647316,0.41701105,14.082603,5.2837987,5.3424015,5.0135326,2.5349061,-1.5150392,3.6768985,-1.8751761,4.7940335,0.127995,3.6123204
-568.59216,39.564487,6.556771,3.222325,5.3799744,3.6366942,3.595431,3.2705994,0.6169674,2.6756988,1.939446,2.097985,2.3769405,2.6643162,1.8785356,1.6321157,2.5785997,3.4204912,2.6989005,2.4389725
-641.24274,39.089355,4.369881,0.34761506,5.371284,4.7166176,2.5647824,1.1963403,1.7023572,3.8105328,1.7800467,1.7557534,2.4327803,3.4598196,3.29547,1.7628181,1.3689705,1.6892763,2.7126663,2.2090101
-87.68227,34.512764,-50.282616,-33.64878,-13.515598,-9.913007,-21.829277,-11.9747,-13.308761,-8.69263,-16.85226,-5.790627,-9.962373,-4.212258,-10.075626,-4.5271273,-8.779593,-2.7554407,-6.881412,-2.1830425
-20.591366,91.78442,-82.982315,-27.499739,-19.821325,-6.396836,-17.939665,-3.4964352,-9.1572695,-7.9814963,-11.839073,-5.4545107,-9.047726,-1.9163048,-4.297938,-0.05776642,-6.2819123,-2.2868202,-3.9292476,1.3616636
-586.2314,10.24331,-2.9993489,-2.8703573,-0.16401672,0.69854176,-1.2244428,0.09405703,-0.090095185,0.4176344,0.61702466,0.9444173,1.637248,1.9765017,0.67603385,0.25481248,0.37816826,0.84338605,0.5216663,0.41095898
92.57533,82.32955,-52.738533,-11.481633,2.3493166,0.10878153,-21.59797,2.826447,-2.054801,4.515143,-1.3639773,3.3476179,-5.6725926,1.815788,-1.8003713,5.2544208,1.2158455,4.585211,-0.22833446,4.5125923
-294.24887,60.323677,-60.81248,-18.40904,1.3815323,-2.3225532,-5.3726873,4.831349,4.0159235,4.461615,-3.3662431,5.5485725,-0.6397668,2.4014513,-1.1032305,3.0319304,-0.35680255,4.0196476,-0.8720763,3.8749087
-203.7944,56.11821,-66.371,-20.91772,0.7432014,-8.531976,-4.117194,6.993401,4.2899604,2.1249025,-4.529742,4.428543,-1.4651341,4.0699153,1.1748074,5.1196895,0.674249,3.9651935,-0.65672076,2.8770108
-271.4629,77.66839,-67.85604,-21.199594,2.1205626,-9.223357,-5.865025,6.025059,7.8565574,1.5150392,-3.2212536,5.1959496,-2.3650804,0.6714959,-2.531067,4.025948,0.42095205,4.5386868,-0.1936203,2.4091547
-239.51093,41.111004,-57.4004,61.90031,0.92668015,-11.595134,-44.988068,10.58857,25.26029,30.795397,-5.4727263,8.930039,-30.15801,13.541481,21.846828,-5.2438264,-11.100697,5.6689262,15.48886,-4.095343
-357.9661,91.553085,25.129183,14.29826,8.447236,21.096884,8.745336,3.0326052,4.4942694,8.951562,9.703417,7.7751136,6.477719,9.443455,8.16384,8.754209,6.9163446,5.3069844,5.439246,6.491159
-371.92044,140.27022,-24.001896,13.910851,12.530455,14.840233,6.5035796,10.6844845,5.740848,12.312489,8.744362,5.3596344,-1.2221756,0.4267115,1.9826279,2.659538,2.5966222,4.428402,2.8653738,2.8771107
-379.72183,100.88512,-3.5129654,-19.051783,-23.919962,-25.029434,-14.385113,-10.009484,-18.019072,0.29478878,0.038208928,-5.640821,-2.3487363,9.2981615,11.934681,6.391566,-3.984344,-2.7523024,-3.251196,-3.1179814
-196.44336,49.390892,-15.764852,24.21132,24.184755,-5.957368,-11.085359,15.237328,6.4213634,-6.204166,-7.0071073,4.1717663,-0.25606835,-1.9707893,-4.7866735,-1.4055834,-4.0054617,-0.64092535,-5.356307,0.8221913
-193.92772,41.84676,-1.2071528,21.450785,8.756572,-3.859976,-9.014047,3.066579,-2.2046163,-3.5308628,-10.054301,0.32332724,-4.1232333,-3.0029495,-5.052279,-1.8343508,-5.905053,-1.9521445,-3.0798666,0.79281694
-330.16977,72.05455,-6.274825,-4.1276417,11.936924,1.9026735,-8.71595,-6.3242736,-8.346754,-4.706747,5.260935,12.133654,15.73903,11.868687,3.1377091,-3.5665326,-7.101569,3.694098,-0.8989599,-8.761931
-408.11023,-4.268377,-76.51759,36.20744,10.806311,-30.497166,-13.856727,-10.204749,-14.042162,-17.67722,-13.430977,-14.3870125,-9.352736,-14.917177,-17.118877,-2.9617095,-17.844704,-8.917611,-4.5792956,-11.894584
-457.7189,-1.7066244,-47.313484,2.1784952,-35.793648,-30.269766,-13.0059805,-12.329866,-16.182413,-6.3925586,-13.551653,-9.816135,-18.812685,-13.335083,-12.705053,-10.263863,-8.908882,-0.04814508,-7.902933,-3.1829233
-122.21149,47.346317,-52.10896,4.6228304,-7.0344768,17.375486,-19.614397,5.4607487,-5.5429864,5.183978,1.9519525,-3.5245771,-11.725315,8.065677,-9.169713,6.74339,-5.026691,-4.083271,-3.7055557,-0.5651429
