0,1,2,3,4,5,6,7,8,9,10,11
0.063031256,0.06960275,0.054064132,0.04272834,0.042224303,0.04410071,0.04211666,0.057669703,0.08155648,0.06403407,0.046368245,0.05278173
0.44328544,0.4720213,0.49984565,0.57485557,0.63293964,0.5741311,0.5868724,0.6384895,0.74267167,0.6482262,0.46122715,0.46022555
0.49051163,0.56561846,0.5411487,0.44095394,0.39306796,0.35812533,0.36496347,0.38289922,0.3612511,0.38447553,0.43775326,0.4675293
0.75044703,0.7568321,0.7904447,0.8152855,0.840186,0.81643724,0.83253634,0.8564973,0.84982723,0.79991937,0.756325,0.7551175
0.19070017,0.19533098,0.22665498,0.21969442,0.19651766,0.21110846,0.23928261,0.2313449,0.18857576,0.18011357,0.18010217,0.18459226
0.18169308,0.18921788,0.19967613,0.20965347,0.18845813,0.18898068,0.22358218,0.2374438,0.18664287,0.18193702,0.17478703,0.17768945
0.89131707,0.8468274,0.7808488,0.76727444,0.7416493,0.73362076,0.7500333,0.7621151,0.7863514,0.8155469,0.84335965,0.8895752
0.86307377,0.8276305,0.7949384,0.7873374,0.7689434,0.777647,0.7984062,0.80663544,0.82956076,0.836671,0.88105273,0.89785546
0.10793361,0.11572224,0.097629696,0.079576746,0.07300779,0.073222466,0.07961536,0.080275446,0.07432395,0.07886204,0.08685751,0.09412504
0.82168275,0.7989526,0.7899493,0.78358734,0.79665333,0.8279989,0.8536557,0.87699175,0.8702511,0.8494505,0.84566414,0.8551969
0.8902531,0.82827824,0.8239246,0.81605345,0.7778285,0.73742753,0.7355571,0.74934465,0.77286524,0.7961856,0.8498161,0.8959545
0.8619199,0.8123224,0.7684922,0.7562821,0.7192197,0.6962108,0.65105414,0.6777241,0.72032195,0.764508,0.818496,0.86604947
0.8344306,0.81374985,0.78505063,0.77247834,0.7379378,0.7027793,0.65535045,0.65220016,0.70299524,0.7597015,0.81550646,0.80448836
0.3444262,0.29241025,0.65085024,0.8866712,0.3348622,0.2609653,0.21480924,0.33683205,0.8461,0.3766969,0.3880853,0.32637832
0.7756448,0.73611516,0.7784973,0.84891844,0.90246034,0.85949856,0.748106,0.79230887,0.7976237,0.83063215,0.8569692,0.84208065
0.6739274,0.6756146,0.7015183,0.72156996,0.76689947,0.79888237,0.83294797,0.8696557,0.8435587,0.72554594,0.67983043,0.67680866
0.7235256,0.5278101,0.515311,0.48375145,0.5049118,0.47216204,0.47286007,0.49758705,0.62266195,0.6528442,0.69244426,0.79863256
0.73980576,0.74296945,0.69772524,0.6814824,0.6024287,0.5255938,0.50287634,0.5327927,0.52875364,0.52844536,0.5992124,0.64312744
0.7280538,0.7475373,0.74884576,0.7239447,0.6582564,0.60607874,0.60209846,0.6235312,0.66172385,0.6619235,0.68819463,0.7454444
0.66417193,0.7078795,0.697257,0.6669991,0.616639,0.47080645,0.39888826,0.43789458,0.5869814,0.6287788,0.66055715,0.7040568
0.4825516,0.6196967,0.8182149,0.69967693,0.6219898,0.4478436,0.38614482,0.45088884,0.56871235,0.61668587,0.4832338,0.38839287
0.6616683,0.6567094,0.6831121,0.70717895,0.71589935,0.7097924,0.7516038,0.77975816,0.73920125,0.69223785,0.7013231,0.69855505
0.64027417,0.6256046,0.6518022,0.7428878,0.7536109,0.7343922,0.7539108,0.85396224,0.80944175,0.77209216,0.72072005,0.634552
0.6227012,0.66136515,0.67343926,0.6953041,0.7294136,0.768389,0.78248227,0.85789675,0.81008863,0.7071237,0.7089546,0.6495374
0.64762634,0.64328694,0.72693187,0.7077952,0.6550197,0.5905034,0.6289695,0.66813827,0.6379389,0.63143855,0.64739984,0.6561085
0.12239471,0.13552658,0.11562147,0.10308074,0.11714325,0.10877724,0.091679044,0.097373046,0.10481004,0.09916182,0.10770203,0.12879193
0.2730856,0.39963382,0.25634712,0.34742424,0.750052,0.39314243,0.27443856,0.2942981,0.29446757,0.5225456,0.24836923,0.21221958
0.69690126,0.6756247,0.6272326,0.65285975,0.74020755,0.8419589,0.7870528,0.7105723,0.7143094,0.7375168,0.71151245,0.7030231
0.5487473,0.50445265,0.40798,0.41878125,0.5210883,0.6828468,0.78466445,0.7046725,0.68755037,0.69356275,0.5947304,0.56426847
0.40644765,0.432016,0.37561277,0.3328392,0.33058524,0.3256933,0.34070244,0.42358696,0.49918568,0.47298506,0.4116876,0.3912449
0.8321992,0.8956921,0.75921476,0.7033822,0.6682276,0.6265511,0.612569,0.5861179,0.61251634,0.65410507,0.7175843,0.7737571
0.32540295,0.32643577,0.32850784,0.33718887,0.34755403,0.33423904,0.30566204,0.28039196,0.27187523,0.28722233,0.2753712,0.30130923
0.9524075,0.48544222,0.44883955,0.536847,0.6071959,0.34495053,0.37876186,0.50084203,0.36520666,0.36067468,0.389678,0.5800572
0.4582067,0.44658658,0.4706659,0.40513608,0.40771854,0.40419316,0.41649806,0.41996408,0.5014585,0.48085725,0.47940964,0.48689464
